cs	popsize	wij	s	f	inithom	inithet	p	naa	ntrial	q	err
34	1000	(1.000000,1.000000,1.000000)	0.000000	0.000000	1	2	0.002000	925	430000	2.151163e-03	1.384812e-04
55	1000	(1.000000,1.000000,1.000000)	0.000000	0.000000	1	2	0.002000	846	430000	1.967442e-03	1.324479e-04
89	1000	(1.000000,1.000000,1.000000)	0.000000	0.000000	1	2	0.002000	831	420000	1.978571e-03	1.343932e-04
144	1000	(1.000000,1.000000,1.000000)	0.000000	0.000000	1	2	0.002000	844	420000	2.009524e-03	1.354382e-04
233	1000	(1.000000,1.000000,1.000000)	0.000000	0.000000	1	2	0.002000	878	440000	1.995455e-03	1.318612e-04
377	1000	(1.000000,1.000000,1.000000)	0.000000	0.000000	1	2	0.002000	877	440000	1.993182e-03	1.317862e-04
610	1000	(1.000000,1.000000,1.000000)	0.000000	0.000000	1	2	0.002000	806	430000	1.874419e-03	1.292849e-04
987	1000	(1.000000,1.000000,1.000000)	0.000000	0.000000	1	2	0.002000	840	420000	2.000000e-03	1.351175e-04
1	1000	(1.000000,1.000000,1.000000)	0.000000	0.001000	0	1	0.000500	517	1020000	5.068627e-04	4.368085e-05
2	1000	(1.000000,1.000000,1.000000)	0.000000	0.001000	0	1	0.000500	498	1300000	3.830769e-04	3.363909e-05
3	1000	(1.000000,1.000000,1.000000)	0.000000	0.001000	0	1	0.000500	483	1220000	3.959016e-04	3.530074e-05
5	1000	(1.000000,1.000000,1.000000)	0.000000	0.001000	0	1	0.000500	510	1190000	4.285714e-04	3.718785e-05
8	1000	(1.000000,1.000000,1.000000)	0.000000	0.001000	0	1	0.000500	483	1050000	4.600000e-04	4.101478e-05
13	1000	(1.000000,1.000000,1.000000)	0.000000	0.001000	0	1	0.000500	477	1120000	4.258929e-04	3.821244e-05
21	1000	(1.000000,1.000000,1.000000)	0.000000	0.001000	0	1	0.000500	512	920000	5.565217e-04	4.819282e-05
34	1000	(1.000000,1.000000,1.000000)	0.000000	0.001000	0	1	0.000500	501	1030000	4.864078e-04	4.258259e-05
55	1000	(1.000000,1.000000,1.000000)	0.000000	0.001000	0	1	0.000500	486	1060000	4.584906e-04	4.075386e-05
89	1000	(1.000000,1.000000,1.000000)	0.000000	0.001000	0	1	0.000500	516	1040000	4.961538e-04	4.279961e-05
144	1000	(1.000000,1.000000,1.000000)	0.000000	0.001000	0	1	0.000500	529	950000	5.568421e-04	4.743942e-05
233	1000	(1.000000,1.000000,1.000000)	0.000000	0.001000	0	1	0.000500	534	1020000	5.235294e-04	4.439283e-05
377	1000	(1.000000,1.000000,1.000000)	0.000000	0.001000	0	1	0.000500	494	1080000	4.574074e-04	4.032705e-05
610	1000	(1.000000,1.000000,1.000000)	0.000000	0.001000	0	1	0.000500	485	1080000	4.490741e-04	3.995818e-05
987	1000	(1.000000,1.000000,1.000000)	0.000000	0.001000	0	1	0.000500	497	990000	5.020202e-04	4.412554e-05
1	1000	(1.000000,1.000000,1.000000)	0.000000	0.001000	1	2	0.002000	827	420000	1.969048e-03	1.340700e-04
2	1000	(1.000000,1.000000,1.000000)	0.000000	0.001000	1	2	0.002000	761	480000	1.585417e-03	1.125544e-04
3	1000	(1.000000,1.000000,1.000000)	0.000000	0.001000	1	2	0.002000	783	460000	1.702174e-03	1.191267e-04
5	1000	(1.000000,1.000000,1.000000)	0.000000	0.001000	1	2	0.002000	768	470000	1.634043e-03	1.154739e-04
8	1000	(1.000000,1.000000,1.000000)	0.000000	0.001000	1	2	0.002000	801	460000	1.741304e-03	1.204859e-04
13	1000	(1.000000,1.000000,1.000000)	0.000000	0.001000	1	2	0.002000	821	430000	1.909302e-03	1.304801e-04
21	1000	(1.000000,1.000000,1.000000)	0.000000	0.001000	1	2	0.002000	836	430000	1.944186e-03	1.316643e-04
34	1000	(1.000000,1.000000,1.000000)	0.000000	0.001000	1	2	0.002000	878	420000	2.090476e-03	1.381337e-04
55	1000	(1.000000,1.000000,1.000000)	0.000000	0.001000	1	2	0.002000	851	430000	1.979070e-03	1.328380e-04
89	1000	(1.000000,1.000000,1.000000)	0.000000	0.001000	1	2	0.002000	885	430000	2.058140e-03	1.354602e-04
144	1000	(1.000000,1.000000,1.000000)	0.000000	0.001000	1	2	0.002000	836	440000	1.900000e-03	1.286748e-04
233	1000	(1.000000,1.000000,1.000000)	0.000000	0.001000	1	2	0.002000	865	430000	2.011628e-03	1.339240e-04
377	1000	(1.000000,1.000000,1.000000)	0.000000	0.001000	1	2	0.002000	838	420000	1.995238e-03	1.349569e-04
610	1000	(1.000000,1.000000,1.000000)	0.000000	0.001000	1	2	0.002000	832	410000	2.029268e-03	1.377504e-04
987	1000	(1.000000,1.000000,1.000000)	0.000000	0.001000	1	2	0.002000	861	450000	1.913333e-03	1.276819e-04
1	1000	(1.000000,1.000000,1.000000)	0.000000	0.010000	0	1	0.000500	550	970000	5.670103e-04	4.737427e-05
2	1000	(1.000000,1.000000,1.000000)	0.000000	0.010000	0	1	0.000500	399	9410000	4.240170e-05	4.160482e-06
3	1000	(1.000000,1.000000,1.000000)	0.000000	0.010000	0	1	0.000500	387	12800000	3.023438e-05	3.012278e-06
5	1000	(1.000000,1.000000,1.000000)	0.000000	0.010000	0	1	0.000500	402	8750000	4.594286e-05	4.491083e-06
8	1000	(1.000000,1.000000,1.000000)	0.000000	0.010000	0	1	0.000500	407	4970000	8.189135e-05	7.955713e-06
